date,step,,,,,
1/8/20 12:10,84,,,,,
1/8/20 12:14,205,,,,,
1/8/20 12:45,95,,,,,
1/8/20 12:51,49,,,,,
1/8/20 13:13,15,,,,,
1/8/20 13:16,15,,,,,
1/8/20 13:18,15,,,,,
1/8/20 13:33,609,,,,,
1/8/20 13:42,499,,,,,
1/8/20 14:04,11,,,,,
1/8/20 14:04,11,,,,,
1/8/20 14:04,9,,,,,
1/8/20 14:04,9,,,,,
1/8/20 14:05,10,,,,,
1/8/20 14:05,8,,,,,
1/8/20 14:05,11,,,,,
1/8/20 14:05,10,,,,,
1/8/20 14:05,9,,,,,
1/8/20 14:05,9,,,,,
1/8/20 14:05,11,,,,,
1/8/20 14:05,10,,,,,
1/8/20 14:05,10,,,,,
1/8/20 14:05,10,,,,,
1/8/20 14:05,10,,,,,
1/8/20 14:06,10,,,,,
1/8/20 14:06,4,,,,,
1/8/20 14:06,9,,,,,
1/8/20 14:06,11,,,,,
1/8/20 14:11,14,,,,,
1/8/20 14:11,3,,,,,
1/8/20 14:12,8,,,,,
1/8/20 14:12,16,,,,,
1/8/20 14:12,2,,,,,
1/8/20 14:12,6,,,,,
1/8/20 14:12,3,,,,,
1/8/20 14:12,11,,,,,
1/8/20 14:12,9,,,,,
1/8/20 14:12,8,,,,,
1/8/20 14:13,10,,,,,
1/8/20 14:13,7,,,,,
1/8/20 14:13,8,,,,,
1/8/20 14:13,4,,,,,
1/8/20 14:13,8,,,,,
1/8/20 14:13,8,,,,,
1/8/20 14:13,5,,,,,
1/8/20 14:13,5,,,,,
1/8/20 14:14,5,,,,,
1/8/20 14:14,4,,,,,
1/8/20 15:32,21,,,,,
1/8/20 15:42,15,,,,,
1/8/20 17:09,6,,,,,
1/8/20 17:09,8,,,,,
1/8/20 17:28,49,,,,,
1/8/20 18:23,15,,,,,
1/8/20 18:23,8,,,,,
1/8/20 18:27,21,,,,,
1/8/20 18:27,6,,,,,
1/8/20 18:28,10,,,,,
1/8/20 18:29,12,,,,,
1/8/20 18:29,2,,,,,
1/8/20 18:29,4,,,,,
1/8/20 18:29,14,,,,,
1/8/20 18:29,10,,,,,
1/8/20 18:30,9,,,,,
1/8/20 18:30,10,,,,,
